,names,nvss_id_simbad,nvss_id_morx,first_id_simbad,first_id_morx,L_nvss,L_nvss_err,L_4xmm_soft,L_4xmm_soft_err,L_4xmm_hard,L_4xmm_hard_err,nu_radio_sed,nu_fnu_radio_sed,nu_fnu_err_radio_sed
24,SDSSJ124318.73+033300.6,NVSS J124318+033300,NVSS J124318.8+033300,FIRST J124318.7+033300,FIRSTJ124318.7+033300,5.0741815274745284e+39,1.5230560475866808e+38,,,,,[8.4400e-16 1.2040e-15 7.7600e-16 8.9320e-16 1.3213e-15] erg / (s cm2),[8.4400e-16 1.2040e-15 7.7600e-16 8.9320e-16 1.3213e-15] erg / (s cm2),[2.1100e-16 2.5800e-16 9.7000e-17 2.8000e-17 2.0805e-16] erg / (s cm2)
25,SDSSJ124633.75+115347.8,NVSS B124402+121009,NVSS J124633.7+115347,FIRST J124633.7+115348,FIRSTJ124633.7+115348,,,,,,,[2.110e-15 1.978e-15 1.164e-15 8.610e-16] erg / (s cm2),[2.110e-15 1.978e-15 1.164e-15 8.610e-16] erg / (s cm2),[4.22e-16 3.44e-16 9.70e-17 2.66e-17] erg / (s cm2)
26,SDSSJ130837.91+434415.1,NVSS J130837+434415,NVSS J130837.9+434415,FIRST J130837.8+434415,FIRSTJ130837.8+434415,2.589217272864641e+39,8.007888260640639e+37,,,,,[2.328e-15 2.231e-15 2.328e-15 2.231e-15 8.218e-16] erg / (s cm2),[2.328e-15 2.231e-15 2.328e-15 2.231e-15 8.218e-16] erg / (s cm2),[3.8800e-16 3.3465e-16 3.8800e-16 3.3465e-16 2.5200e-17] erg / (s cm2)
27,SDSSJ133042.51+323249.0,NVSS J133042+323248,NVSS J133042.5+323247,FIRST J133042.5+323249,FIRSTJ133042.5+323249,6.99051530818976e+38,2.76461052677932e+37,,,,,"[2.339400e-16 2.548000e-16 2.339400e-16 2.548000e-16 2.339400e-16
 2.548000e-16 2.537028e-17 2.366056e-17 2.123968e-17 2.178750e-17
 2.085464e-17 2.042952e-17 1.892800e-17] erg / (s cm2)","[2.339400e-16 2.548000e-16 2.339400e-16 2.548000e-16 2.339400e-16
 2.548000e-16 2.537028e-17 2.366056e-17 2.123968e-17 2.178750e-17
 2.085464e-17 2.042952e-17 1.892800e-17] erg / (s cm2)","[1.1697e-17 9.8000e-18 1.1697e-17 9.8000e-18 1.1697e-17 9.8000e-18
 8.7204e-19 7.9695e-19 8.1466e-19 3.8850e-19 7.5336e-19 7.5210e-19
 8.8660e-19] erg / (s cm2)"
28,SDSSJ134159.72+294653.5,NVSS J134159+294655,NVSS J134159.7+294655,FIRST J134159.7+294653,FIRSTJ134159.7+294653,7.299078551976403e+38,3.5432420155225253e+37,,,,,"[1.342600e-16 1.484000e-16 1.342600e-16 1.484000e-16 1.342600e-16
 1.484000e-16 2.059265e-17 2.684031e-17 1.434356e-17 2.118600e-17
 3.262662e-17 1.796208e-17 1.457560e-17] erg / (s cm2)","[1.342600e-16 1.484000e-16 1.342600e-16 1.484000e-16 1.342600e-16
 1.484000e-16 2.059265e-17 2.684031e-17 1.434356e-17 2.118600e-17
 3.262662e-17 1.796208e-17 1.457560e-17] erg / (s cm2)","[6.71300e-18 8.40000e-18 6.71300e-18 8.40000e-18 6.71300e-18 8.40000e-18
 3.27860e-18 2.67099e-18 1.98968e-18 8.94000e-19 1.47898e-18 1.66842e-18
 1.09590e-18] erg / (s cm2)"
29,SDSSJ135036.01+334217.3,NVSS J135036+334218,NVSS J135036.0+334218,FIRST J135036.0+334217,FIRSTJ135036.0+334217,6.98735717942958e+38,2.1425130158126e+37,,,,,"[4.36500e-15 3.68600e-15 4.36500e-15 3.68600e-15 2.47520e-15 1.35394e-15
 1.42240e-15 1.35394e-15 1.42240e-15 1.35394e-15 1.42240e-15 1.28845e-15] erg / (s cm2)","[4.36500e-15 3.68600e-15 4.36500e-15 3.68600e-15 2.47520e-15 1.35394e-15
 1.42240e-15 1.35394e-15 1.42240e-15 1.35394e-15 1.42240e-15 1.28845e-15] erg / (s cm2)","[6.5475e-16 5.3350e-16 6.5475e-16 5.3350e-16 1.1900e-16 6.7697e-17
 4.3400e-17 6.7697e-17 4.3400e-17 6.7697e-17 4.3400e-17 1.2045e-16] erg / (s cm2)"
30,SDSSJ140528.32+304602.0,NVSS J140528+304603,NVSS J140528.2+304603,FIRST J140528.3+304602,FIRSTJ140528.3+304602,1.5266307001058302e+38,1.0601602084068265e+37,,,,,"[1.092e-16 1.078e-16 1.092e-16 1.078e-16 1.092e-16 1.078e-16 1.092e-16
 1.008e-16] erg / (s cm2)","[1.092e-16 1.078e-16 1.092e-16 1.078e-16 1.092e-16 1.078e-16 1.092e-16
 1.008e-16] erg / (s cm2)",[5.46e-18 7.00e-18 5.46e-18 7.00e-18 5.46e-18 7.00e-18 1.96e-18 7.00e-18] erg / (s cm2)
31,SDSSJ152151.85+074231.7,,,FIRST J152151.8+074231,FIRSTJ152151.8+074231,,,3.823655257450385e+41,1.1428338932544901e+40,2.4152894215144983e+41,2.8189618772072903e+40,"[5.25000e-15 5.10000e-15 5.10000e-15 6.48605e-15 2.13600e-14 2.01140e-14
 2.13600e-14 2.01140e-14 5.82000e-14 4.52200e-14 5.73340e-14 6.49000e-14] erg / (s cm2)","[5.25000e-15 5.10000e-15 5.10000e-15 6.48605e-15 2.13600e-14 2.01140e-14
 2.13600e-14 2.01140e-14 5.82000e-14 4.52200e-14 5.73340e-14 6.49000e-14] erg / (s cm2)","[1.8375e-15 6.0000e-16 6.0000e-16 2.6645e-16 1.7088e-15 2.0114e-15
 1.7088e-15 2.0114e-15 3.6000e-15 6.7830e-15 4.4710e-15 5.5000e-15] erg / (s cm2)"
32,SDSSJ153016.15+270551.0,NVSS J153016+270551,NVSS J153016.2+270551,FIRST J153016.1+270551,FIRSTJ153016.1+270551,4.8624365575896175e+38,2.193580489085182e+37,,,,,[3.7345e-15 3.8800e-15 3.7345e-15 3.8800e-15 2.0160e-16] erg / (s cm2),[3.7345e-15 3.8800e-15 3.7345e-15 3.8800e-15 2.0160e-16] erg / (s cm2),[5.60175e-16 5.82000e-16 5.60175e-16 5.82000e-16 1.26000e-17] erg / (s cm2)
33,SDSSJ155951.61+255626.3,NVSS J155949+255631,,FIRST J155949.5+255632,,1.0926275093693663e+40,3.78459823912486e+38,,,,,[3.68600e-15 3.49200e-15 3.68600e-15 3.49200e-15 1.00368e-15 9.08850e-16] erg / (s cm2),[3.68600e-15 3.49200e-15 3.68600e-15 3.49200e-15 1.00368e-15 9.08850e-16] erg / (s cm2),[5.335e-16 5.238e-16 5.335e-16 5.238e-16 3.060e-16 1.095e-16] erg / (s cm2)
34,SDSSJ160616.02+181459.8,NVSS J160616+181459,NVSS J160616.0+181459,FIRST J160616.0+181459,FIRSTJ160616.0+181459,1.0550721009554061e+40,3.1699474776512054e+38,,,,,"[3.74000e-14 1.33000e-14 1.32405e-14 1.34830e-14 1.32405e-14 1.34830e-14
 3.12760e-15 5.88000e-15] erg / (s cm2)","[3.74000e-14 1.33000e-14 1.32405e-14 1.34830e-14 1.32405e-14 1.34830e-14
 3.12760e-15 5.88000e-15] erg / (s cm2)","[4.400000e-15 1.300000e-15 1.986075e-15 1.843000e-15 1.986075e-15
 1.843000e-15 9.380000e-17 1.400000e-16] erg / (s cm2)"
35,SDSSJ161238.84+293836.9,NVSS J161238+293837,NVSS J161238.8+293836,FIRST J161238.8+293836,FIRSTJ161238.8+293836,9.658571239354469e+38,3.1958506930664477e+37,5.923108666976104e+40,5.248769812116305e+39,3.569813510122325e+41,5.936934293340555e+40,[1.358e-15 3.878e-16 3.052e-16 3.878e-16 3.052e-16 3.878e-16 3.052e-16] erg / (s cm2),[1.358e-15 3.878e-16 3.052e-16 3.878e-16 3.052e-16 3.878e-16 3.052e-16] erg / (s cm2),[2.910e-16 1.400e-17 1.526e-17 1.400e-17 1.526e-17 1.400e-17 1.526e-17] erg / (s cm2)
36,SDSSJ162549.96+402919.4,NVSS J162549+402921,NVSS J162549.9+402920,FIRST J162550.0+402918,FIRSTJ162550.0+402918,9.273848714157175e+38,3.803155484603395e+37,,,,,"[2.5705e-15 2.4735e-15 2.5705e-15 2.4735e-15 3.5658e-16 4.5360e-16
 3.5658e-16 4.5360e-16 3.5658e-16 4.5360e-16 5.7120e-16] erg / (s cm2)","[2.5705e-15 2.4735e-15 2.5705e-15 2.4735e-15 3.5658e-16 4.5360e-16
 3.5658e-16 4.5360e-16 3.5658e-16 4.5360e-16 5.7120e-16] erg / (s cm2)","[3.88000e-16 3.71025e-16 3.88000e-16 3.71025e-16 1.78290e-17 1.96000e-17
 1.78290e-17 1.96000e-17 1.78290e-17 1.96000e-17 8.16000e-17] erg / (s cm2)"
37,SDSSJ164925.86+360321.3,NVSS J164926+360321,NVSS J164926.2+360321,FIRST J164925.9+360321,FIRSTJ164925.9+360321,3.9758671962030726e+38,1.7137358604323588e+37,,,,,[1.2012e-16 1.8340e-16 1.2012e-16 1.8340e-16 1.2012e-16 1.8340e-16] erg / (s cm2),[1.2012e-16 1.8340e-16 1.2012e-16 1.8340e-16 1.2012e-16 1.8340e-16] erg / (s cm2),[6.006e-18 1.260e-17 6.006e-18 1.260e-17 6.006e-18 1.260e-17] erg / (s cm2)
38,SDSSJ171522.97+572440.2,NVSS J171522+572440,NVSS J171522.9+572440,FIRST J171522.9+572440,FIRSTJ171522.9+572440,1.455559495923679e+39,4.59650354957217e+37,5.1329758420930514e+42,1.4431221525493558e+40,2.3033462939046993e+42,3.063935656747243e+40,[1.8430e-15 1.8915e-15 1.8430e-15 1.8915e-15 8.0500e-16] erg / (s cm2),[1.8430e-15 1.8915e-15 1.8430e-15 1.8915e-15 8.0500e-16] erg / (s cm2),[2.7645e-16 2.9100e-16 2.7645e-16 2.9100e-16 2.5200e-17] erg / (s cm2)
39,SDSSJ172215.41+304239.8,NVSS J172215+304238,NVSS J172215.3+304238,FIRST J172215.4+304239,FIRSTJ172215.4+304239,5.881450191365103e+38,3.770160379080194e+37,,,,,[1.302e-16 7.154e-17 1.302e-16 7.154e-17 1.302e-16 7.154e-17] erg / (s cm2),[1.302e-16 7.154e-17 1.302e-16 7.154e-17 1.302e-16 7.154e-17] erg / (s cm2),[1.400e-17 3.577e-18 1.400e-17 3.577e-18 1.400e-17 3.577e-18] erg / (s cm2)
